ExperienceID,PropertyID,Name,Category,Description,Price,Duration,Available
EXP-P001-SPA-001,P-001,Alpine Signature Spa Package,Spa,Alpine Signature Spa Package — a curated spa offering at Contoso Park City.,219.33,90 min,1
EXP-P-001-SPA-002,P-001,Alpine Deep Tissue Therapy,Spa,Alpine Deep Tissue Therapy — a curated spa offering at Contoso Park City.,334.97,120 min,1
EXP-P-001-SPA-003,P-001,Alpine Aromatherapy Facial,Spa,Alpine Aromatherapy Facial — a curated spa offering at Contoso Park City.,91.55,60 min,1
EXP-P-001-SPA-004,P-001,Alpine Couples Retreat Package,Spa,Alpine Couples Retreat Package — a curated spa offering at Contoso Park City.,238.69,120 min,1
EXP-P-001-SPA-005,P-001,Alpine Hot Stone Treatment,Spa,Alpine Hot Stone Treatment — a curated spa offering at Contoso Park City.,219.48,120 min,1
EXP-P-001-SPA-006,P-001,Alpine Hydrating Body Wrap,Spa,Alpine Hydrating Body Wrap — a curated spa offering at Contoso Park City.,185.76,90 min,1
EXP-P-001-SPA-007,P-001,Alpine Express 30-Min Facial,Spa,Alpine Express 30-Min Facial — a curated spa offering at Contoso Park City.,281.54,60 min,1
EXP-P-001-SPA-008,P-001,Alpine Full Wellness Journey,Spa,Alpine Full Wellness Journey — a curated spa offering at Contoso Park City.,308.36,90 min,1
EXP-P-001-DIN-001,P-001,Alpine Chef's Tasting Menu,Dining,Alpine Chef's Tasting Menu — a curated dining offering at Contoso Park City.,343.57,3 hours,1
EXP-P-001-DIN-002,P-001,Alpine Wine & Pairing Dinner,Dining,Alpine Wine & Pairing Dinner — a curated dining offering at Contoso Park City.,295.02,3 hours,1
EXP-P-001-DIN-003,P-001,Alpine Sunset Terrace Dining,Dining,Alpine Sunset Terrace Dining — a curated dining offering at Contoso Park City.,341.36,2 hours,1
EXP-P-001-DIN-004,P-001,Alpine Private Dining Experience,Dining,Alpine Private Dining Experience — a curated dining offering at Contoso Park City.,91.06,3 hours,1
EXP-P-001-DIN-005,P-001,Alpine Sunday Brunch Buffet,Dining,Alpine Sunday Brunch Buffet — a curated dining offering at Contoso Park City.,115.9,2 hours,1
EXP-P-001-DIN-006,P-001,Alpine Cocktail & Tapas Hour,Dining,Alpine Cocktail & Tapas Hour — a curated dining offering at Contoso Park City.,365.99,2 hours,1
EXP-P-001-DIN-007,P-001,Alpine Seasonal Farm Dinner,Dining,Alpine Seasonal Farm Dinner — a curated dining offering at Contoso Park City.,78.0,2 hours,1
EXP-P-001-DIN-008,P-001,Alpine In-Room Romance Package,Dining,Alpine In-Room Romance Package — a curated dining offering at Contoso Park City.,405.01,2 hours,1
EXP-P-001-ACT-001,P-001,Alpine Adventure Package,Activity,Alpine Adventure Package — a curated activity offering at Contoso Park City.,154.76,Half day,1
EXP-P-001-ACT-002,P-001,Alpine Nature Walk & Tour,Activity,Alpine Nature Walk & Tour — a curated activity offering at Contoso Park City.,162.1,3 hours,1
EXP-P-001-ACT-003,P-001,Alpine Photography Experience,Activity,Alpine Photography Experience — a curated activity offering at Contoso Park City.,187.38,Full day,1
EXP-P-001-ACT-004,P-001,Alpine Guided Excursion,Activity,Alpine Guided Excursion — a curated activity offering at Contoso Park City.,81.08,3 hours,1
EXP-P-001-ACT-005,P-001,Alpine Outdoor Fitness Session,Activity,Alpine Outdoor Fitness Session — a curated activity offering at Contoso Park City.,169.25,3 hours,1
EXP-P-001-ACT-006,P-001,Alpine Local Cultural Tour,Activity,Alpine Local Cultural Tour — a curated activity offering at Contoso Park City.,264.84,Full day,1
EXP-P-001-ACT-007,P-001,Alpine Evening Stargazing,Activity,Alpine Evening Stargazing — a curated activity offering at Contoso Park City.,62.44,2 hours,1
EXP-P-001-ACT-008,P-001,Alpine Half-Day Exploration,Activity,Alpine Half-Day Exploration — a curated activity offering at Contoso Park City.,58.79,Full day,1
EXP-P-001-KID-001,P-001,Alpine Kids Club Day Pass,Kids,Alpine Kids Club Day Pass — a curated kids offering at Contoso Park City.,100.93,2 hours,1
EXP-P-001-KID-002,P-001,Alpine Junior Chef Workshop,Kids,Alpine Junior Chef Workshop — a curated kids offering at Contoso Park City.,37.32,All day,1
EXP-P-001-KID-003,P-001,Alpine Kids Movie Night,Kids,Alpine Kids Movie Night — a curated kids offering at Contoso Park City.,42.24,60 min,1
EXP-P-001-KID-004,P-001,Alpine Treasure Hunt Adventure,Kids,Alpine Treasure Hunt Adventure — a curated kids offering at Contoso Park City.,65.69,90 min,1
EXP-P-001-KID-005,P-001,Alpine Arts & Crafts Studio,Kids,Alpine Arts & Crafts Studio — a curated kids offering at Contoso Park City.,53.74,90 min,1
EXP-P-001-KID-006,P-001,Alpine Mini Spa for Kids,Kids,Alpine Mini Spa for Kids — a curated kids offering at Contoso Park City.,48.18,90 min,1
EXP-P-001-KID-007,P-001,Alpine Kids' Birthday Experience,Kids,Alpine Kids' Birthday Experience — a curated kids offering at Contoso Park City.,30.19,90 min,1
EXP-P-001-KID-008,P-001,Alpine Family Scavenger Hunt,Kids,Alpine Family Scavenger Hunt — a curated kids offering at Contoso Park City.,46.57,90 min,1
