SurveyID,GuestID,BookingID,PropertyID,OverallRating,NPS,Cleanliness,Service,FoodBeverage,Spa,Activities,FreeText,SubmittedDate
SV-0010001,G-0008476,BK-0013155,P-002,6,5,4,3,4,,2,Expected more for a premium resort. Rooms need a serious refresh.,2024-09-21
SV-0010002,G-0007308,BK-0015273,P-002,6,4,3,3,4,,,Beach access was great but the room didn't match the price.,2023-11-03
SV-0010003,G-0008801,BK-0021692,P-003,6,7,4,4,4,,,Would recommend for any family traveling with children.,2022-10-17
SV-0010004,G-0004827,BK-0011171,P-005,7,9,5,5,5,,4,Perfect base for Smoky Mountain exploration.,2022-08-19
SV-0010005,G-0008529,BK-0016367,P-002,5,3,3,4,3,,5,Staff were friendly but the property really needs updating.,2024-12-28
SV-0010006,G-0005995,BK-0013616,P-001,10,8,4,4,4,,,The facial at the spa was worth every penny.,2025-08-08
SV-0010007,G-0008053,BK-0011455,P-002,5,4,4,3,3,,1,Seafood restaurant was excellent — the room itself was not.,2022-04-06
SV-0010008,G-0005652,BK-0015319,P-003,8,8,4,5,5,,,,2023-03-28
SV-0010009,G-0005234,BK-0012638,P-003,7,6,3,4,5,,,Proximity to the theme parks genuinely can't be beat.,2023-08-07
SV-0010010,G-0007642,BK-0020590,P-004,10,10,5,4,5,,,The curated local experience package was a genuinely great touch.,2023-09-18
SV-0010011,G-0004110,BK-0014310,P-005,8,7,3,5,4,,5,Staff arranged a private trail guide — completely unforgettable.,2024-10-25
SV-0010012,G-0007015,BK-0014417,P-001,10,8,3,4,4,,5,Staff remembered our preferences from last year. That's real luxury.,2025-07-21
SV-0010013,G-0007263,BK-0011834,P-003,8,8,5,5,4,,4,Kids club staff were incredibly attentive and creative.,2025-10-30
SV-0010014,G-0005421,BK-0014526,P-005,9,8,5,4,4,,,Loved the emphasis on local produce at breakfast.,2023-12-23
SV-0010015,G-0006798,BK-0016004,P-002,6,3,2,3,3,2,,The oceanview terrace is lovely. The room quality was not.,2025-01-28
SV-0010016,G-0004889,BK-0018465,P-003,9,7,5,4,4,,,Kids' Birthday Experience was an absolute hit for my daughter.,2022-08-07
SV-0010017,G-0004551,BK-0019693,P-001,9,10,4,4,5,2,,Signature spa package was the highlight of our trip.,2024-11-23
SV-0010018,G-0004568,BK-0013952,P-001,9,9,5,4,5,4,3,Best New Year's Eve I've ever spent. The event was magical.,2025-11-28
SV-0010019,G-0006056,BK-0020776,P-003,8,8,4,5,3,,,The pillow menu is a delightful and thoughtful touch.,2023-10-27
SV-0010020,G-0008346,BK-0013915,P-003,6,8,1,5,5,4,1,Kids' Birthday Experience was an absolute hit for my daughter.,2023-07-19
SV-0010021,G-0007087,BK-0012193,P-001,8,10,4,4,5,3,3,,2025-01-24
SV-0010022,G-0004589,BK-0015976,P-004,9,7,5,5,5,,2,"Clean, stylish, and walkable everywhere. My New York go-to.",2025-11-18
SV-0010023,G-0008729,BK-0012244,P-001,9,10,4,4,4,2,,The facial at the spa was worth every penny.,2024-08-28
SV-0010024,G-0004740,BK-0015595,P-003,6,7,4,5,5,,,Kids club staff were incredibly attentive and creative.,2022-06-06
SV-0010025,G-0005946,BK-0015303,P-002,4,5,4,4,5,4,,The pool area was very crowded on weekends.,2023-08-14
SV-0010026,G-0006132,BK-0016482,P-002,4,3,1,3,4,,3,,2023-10-30
SV-0010027,G-0007267,BK-0015728,P-002,5,3,3,3,3,,,Beach access was great but the room didn't match the price.,2022-03-23
SV-0010028,G-0007895,BK-0021388,P-003,9,8,5,4,4,,,Great location for the parks. Hotel itself is solid.,2023-10-31
SV-0010029,G-0008631,BK-0010773,P-005,8,7,5,4,5,,,Perfect base for Smoky Mountain exploration.,2023-04-12
SV-0010030,G-0008456,BK-0014331,P-003,8,6,5,5,4,2,4,Character dining is a must-do with little ones. Perfect experience.,2022-12-29
SV-0010031,G-0008656,BK-0019372,P-005,8,7,4,4,4,,1,Staff arranged a private trail guide — completely unforgettable.,2024-05-25
SV-0010032,G-0004684,BK-0015224,P-004,7,10,3,4,5,,,Small but well-appointed rooms. The location more than makes up for it.,2022-03-08
SV-0010033,G-0005262,BK-0014247,P-004,7,9,3,5,4,,5,Boutique feel in the heart of Manhattan — exactly what I wanted.,2025-02-01
SV-0010034,G-0005082,BK-0016987,P-004,7,7,5,4,4,,5,Rooftop bar has stunning skyline views — worth every minute.,2023-02-17
SV-0010035,G-0006571,BK-0018461,P-002,4,3,2,4,5,,,Beach access was great but the room didn't match the price.,2025-12-05
SV-0010036,G-0008791,BK-0014215,P-002,7,5,3,3,3,,,Beach access was great but the room didn't match the price.,2023-10-27
SV-0010037,G-0007790,BK-0019826,P-003,7,8,4,5,4,,,Proximity to the theme parks genuinely can't be beat.,2023-07-27
SV-0010038,G-0005135,BK-0011184,P-001,10,8,3,4,4,,,The facial at the spa was worth every penny.,2023-01-20
SV-0010039,G-0004040,BK-0011461,P-004,10,9,5,5,4,,,Boutique feel in the heart of Manhattan — exactly what I wanted.,2025-08-29
SV-0010040,G-0007534,BK-0011787,P-002,6,4,4,4,4,,4,Check-in was slow and the room wasn't ready until 5pm.,2025-10-30
SV-0010041,G-0005082,BK-0015912,P-002,6,5,1,4,5,,,,2025-05-17
SV-0010042,G-0006480,BK-0014610,P-001,9,8,5,5,4,,,Signature spa package was the highlight of our trip.,2026-02-05
SV-0010043,G-0004164,BK-0011669,P-001,8,9,4,5,4,,,Staff remembered our preferences from last year. That's real luxury.,2023-10-29
