BookingID,GuestID,PropertyID,CheckIn,CheckOut,RoomType,RoomNumber,RatePerNight,TotalAmount,Status,SpecialRequests,BookedDate
BK-0001001,G-0001001,P-001,2022-01-15,2022-01-20,Suite,812,489.00,2445.00,Completed,,2021-12-28
BK-0001002,G-0001001,P-001,2022-07-08,2022-07-13,Suite,819,529.00,2645.00,Completed,Pre-book the Alpine Signature Spa Package,2022-06-10
BK-0001003,G-0001001,P-001,2022-12-23,2022-12-28,Penthouse,1204,1099.00,5495.00,Completed,Champagne on arrival please,2022-11-15
BK-0001004,G-0001001,P-001,2023-01-20,2023-01-25,Suite,805,509.00,2545.00,Completed,,2023-01-05
BK-0001005,G-0001001,P-001,2023-07-01,2023-07-06,Suite,811,539.00,2695.00,Completed,Pre-book the Alpine Signature Spa Package,2023-05-20
BK-0001006,G-0001001,P-001,2023-12-22,2023-12-27,Penthouse,1201,1149.00,5745.00,Completed,Champagne on arrival please,2023-11-01
BK-0001007,G-0001001,P-001,2024-02-16,2024-02-21,Suite,807,519.00,2595.00,Completed,,2024-01-30
BK-0001008,G-0001001,P-001,2025-01-10,2025-01-15,Suite,814,559.00,2795.00,Completed,Pre-book the Alpine Signature Spa Package,2024-12-20
BK-0001009,G-0001001,P-002,2023-04-10,2023-04-14,Deluxe,412,279.00,1116.00,Completed,,2023-03-15
BK-0001010,G-0001001,P-002,2024-09-05,2024-09-09,Deluxe,408,299.00,1196.00,Completed,,2024-08-10
BK-0001011,G-0001001,P-004,2024-05-15,2024-05-18,Suite,1001,599.00,1797.00,Completed,,2024-04-20
BK-0001012,G-0001001,P-004,2025-06-20,2025-06-23,Suite,1005,629.00,1887.00,Completed,,2025-05-15
